1.291,-0.566,-2.869,6.737
-0.047,0.627,-3.192,3.663
-0.771,0.281,-4.457,4.630
-0.175,0.971,-9.305,4.769
0.663,-0.371,-7.399,4.985
-0.525,-0.024,-7.354,2.735
0.478,0.242,-3.690,4.556
-1.374,-0.503,-6.058,3.078
0.400,0.440,-1.488,3.761
-0.044,0.957,-2.332,3.471
-0.097,-0.345,-2.745,3.725
-1.991,-0.524,-8.339,3.251
-1.236,-1.081,-0.709,3.731
0.029,0.198,0.490,3.533
0.839,1.454,-9.224,3.252
-1.590,0.394,-3.572,4.009
-0.674,-0.422,-5.821,5.042
-0.724,-0.558,-5.036,2.463
-0.213,0.068,-4.717,3.950
-0.314,0.577,-8.731,3.899
-1.194,-2.103,-3.826,4.071
0.380,2.888,-4.760,4.606
0.573,0.071,-7.744,3.559
1.078,1.767,-3.550,2.094
1.161,-0.212,-2.307,5.371
-1.009,-0.187,-5.267,4.854
1.107,-0.842,-6.010,3.671
1.020,1.168,-4.703,4.414
0.981,0.156,-6.977,4.860
-0.632,0.148,-0.737,4.258
-1.488,1.677,-3.906,2.647
-0.380,-1.820,-4.643,4.367
-1.580,-0.167,-3.371,3.060
1.048,-0.293,-5.415,2.806
-0.546,0.571,-6.244,3.906
-1.819,0.274,-3.678,3.582
1.211,-1.475,-1.324,2.501
0.199,0.277,-1.972,3.478
-0.466,0.786,-1.446,5.032
-0.736,-0.535,-3.399,4.333
2.068,0.746,-8.771,6.390
-0.315,1.841,-8.403,1.849
0.582,0.310,-2.780,5.747
-2.565,0.351,-3.602,5.050
-0.629,1.458,-6.035,4.098
1.241,-1.838,-4.074,4.085
2.074,0.624,-5.073,4.492
-1.126,-0.368,-3.817,2.134
1.124,-0.535,-1.099,1.572
1.264,-0.355,-3.059,5.996
0.470,-1.033,-6.372,3.560
0.472,1.396,-4.688,1.359
-0.945,1.351,-5.991,5.111
-1.337,-0.729,-3.906,3.012
2.225,0.078,-6.841,4.679
0.013,-0.068,-3.121,3.085
-0.009,2.161,-7.498,3.637
0.291,1.346,0.319,4.856
0.989,-0.994,-7.876,3.965
-1.364,-0.191,-3.672,3.998
0.343,-0.589,-7.727,3.171
-1.635,-0.295,-6.506,3.548
0.741,0.164,-4.074,4.247
-1.039,0.018,-2.702,5.395
-0.529,-0.830,-6.026,2.862
1.370,-0.079,0.374,3.664
0.579,-0.183,-2.115,3.586
1.513,0.499,-1.853,5.661
0.022,-0.446,-4.154,4.165
0.615,0.491,-4.970,4.797
1.327,1.558,-5.476,4.252
-0.247,-0.179,-1.798,5.169
-0.319,1.237,-4.475,3.535
-0.019,-0.395,-8.117,4.933
1.455,-1.014,-8.444,4.028
-1.310,0.492,-2.373,3.847
0.278,-0.974,-2.726,3.073
0.919,0.315,-4.665,3.784
-0.417,1.199,-4.935,4.693
-1.845,-0.022,-3.496,3.420
-0.086,0.920,-6.965,5.173
1.203,1.308,-0.901,4.684
0.014,0.405,-2.016,3.851
0.151,-1.842,-6.304,3.287
-1.043,0.169,-10.432,4.671
0.930,-0.198,-5.470,5.609
-0.608,-0.438,-5.335,2.716
1.112,-1.036,-0.934,4.726
1.040,0.607,-5.767,4.245
1.103,-0.309,-5.727,4.866
1.501,1.692,-8.218,4.151
0.051,-0.590,-5.594,3.773
