-3.225,8.558,16.163
-0.926,2.552,1.373
-2.479,7.577,-4.657
-2.039,9.374,-11.062
-3.554,7.840,-4.678
-2.870,13.030,-6.234
-2.339,4.073,-4.360
-3.168,6.367,15.496
-1.855,3.623,-5.149
-4.489,6.744,5.829
-3.003,6.666,8.764
-1.524,8.150,-18.043
-2.937,5.204,2.201
-1.579,1.423,0.493
-1.698,2.534,5.867
-1.957,3.181,4.140
-3.758,4.742,-7.711
-0.032,9.537,8.998
-1.980,0.308,-3.119
-1.353,0.869,37.383
-2.786,1.194,-27.456
-3.393,6.556,5.892
-0.718,2.636,17.269
-1.463,5.865,13.727
-0.896,7.564,-1.320
-2.473,0.792,-8.612
-1.034,2.596,3.893
-3.268,-2.568,-6.799
-3.989,-0.492,18.441
-3.145,8.734,5.011
-3.253,4.441,-18.654
-5.355,6.027,-8.089
-3.067,3.639,3.153
-2.901,6.897,-3.831
-1.959,7.836,0.766
-2.441,1.465,8.985
-0.187,5.589,-3.695
-2.091,8.070,-1.736
-1.557,1.560,-3.106
-0.872,6.972,15.443
-3.194,0.216,-12.209
-2.338,7.526,5.986
-3.133,5.299,2.303
-3.067,5.156,-11.838
-1.962,8.393,3.693
-3.362,0.545,14.943
-1.477,4.255,7.148
-2.219,5.755,0.423
-1.439,10.160,1.089
-1.631,3.388,2.551
-2.004,5.928,-5.604
-3.195,-0.631,7.096
-2.743,3.346,14.330
-2.972,-0.242,-1.737
-1.608,2.477,7.748
-2.910,6.491,5.983
-3.572,3.082,4.307
-2.721,7.989,-9.743
-4.089,3.187,5.664
-1.646,5.670,11.509
-3.427,7.971,-2.853
-2.364,8.420,21.653
-1.812,2.328,1.067
-3.128,6.038,-3.371
-2.585,8.505,-0.770
-2.360,4.190,1.356
-2.468,2.827,-15.086
-3.645,4.545,2.840
-2.384,5.463,8.552
-3.923,5.345,-15.348
-3.137,6.214,0.781
-1.276,5.830,-9.406
-3.929,-1.167,0.894
-3.301,11.072,3.879
-3.053,3.228,4.397
-2.963,4.948,8.240
-1.371,10.624,2.772
-2.241,5.019,8.515
-1.326,10.022,19.814
-3.135,3.782,3.900
-1.654,5.059,-2.942
-3.344,5.407,-4.663
-4.631,2.710,-10.400
-1.931,2.365,-7.784
-1.650,9.740,-0.301
-2.645,7.573,11.606
-0.209,4.119,-6.572
-1.190,2.021,-2.513
-0.591,-2.787,12.559
-2.624,0.461,-6.908
-1.739,1.586,3.121
-2.142,7.485,6.131
-2.467,9.564,-9.726
-4.628,6.577,2.055
-2.504,0.400,-14.341
-3.609,-1.737,-2.037
-2.128,-2.165,2.286
-3.023,5.330,2.820
-3.460,2.941,-26.326
-3.394,0.829,8.838
-0.796,8.064,1.721
-2.970,-1.027,-13.334
-2.264,4.720,8.590
-2.245,5.605,20.449
-2.404,-0.479,12.527
-2.922,4.048,2.729
-2.954,2.377,4.753
-1.348,4.026,4.775
-3.700,0.375,-2.112
-2.072,3.558,14.551
-1.550,2.392,-3.847
-3.373,5.707,0.756
-2.569,6.839,-11.176
-4.010,-0.628,-4.615
-0.536,8.011,19.237
-2.651,3.741,13.018
-0.805,11.015,1.445
-3.567,4.941,-8.389
-3.949,6.532,-8.266
-2.722,5.329,7.869
-3.219,1.339,-10.104
-1.923,14.277,13.355
-4.318,9.006,-4.901
-0.544,5.997,-8.357
-4.391,3.574,-3.483
-3.473,2.424,5.266
-1.631,7.562,0.340
-0.140,0.550,-1.442
-3.573,2.634,-1.331
-1.893,5.848,-20.350
-2.236,4.721,-3.325
-2.869,7.251,15.753
-1.566,3.158,1.359
-3.503,1.201,5.837
-1.973,2.098,10.636
-1.582,8.112,18.381
-1.359,3.786,-16.391
-2.762,3.716,7.081
-1.547,6.281,-2.053
-1.599,3.148,-1.522
-1.574,0.716,-0.859
-1.197,7.374,-1.785
-3.128,7.048,2.817
-2.779,9.080,-1.538
-2.393,2.821,-10.909
-4.371,8.511,3.078
-2.974,9.318,2.245
-3.645,8.074,-13.879
-3.019,0.425,-5.438
-2.776,3.935,-11.411
-2.435,3.592,-18.082
-2.042,8.070,-3.399
-2.399,7.080,0.488
-2.929,8.265,5.126
